('WT27-B20-523', 1.6647562470590839e-06)
('WT27-B20-521', 1.6647562470590839e-06)
('WT10-B06-119', 1.6647562470590839e-06)
('WT20-B15-366', 1.6647562470590839e-06)
('WT25-B37-220', 1.6647562470590839e-06)
('WT23-B01-87', 1.6647562470590839e-06)
('WT12-B24-156', 1.6647562470590839e-06)
('WT12-B24-157', 1.6647562470590839e-06)
('WT12-B24-152', 1.6647562470590839e-06)
('WT24-B13-126', 1.6647562470590839e-06)
('WT26-B19-122', 1.6647562470590839e-06)
('WT26-B34-19', 1.6647562470590839e-06)
('WT07-B13-121', 1.6647562470590839e-06)
('WT07-B13-120', 1.6647562470590839e-06)
('WT13-B22-45', 1.6647562470590839e-06)
('WT23-B01-82', 1.6647562470590839e-06)
('WT23-B01-83', 1.6647562470590839e-06)
('WT23-B01-80', 1.6647562470590839e-06)
('WT23-B01-86', 1.6647562470590839e-06)
('WT23-B01-84', 1.6647562470590839e-06)
('WT23-B01-85', 1.6647562470590839e-06)
('WT23-B01-88', 1.6647562470590839e-06)
('WT26-B22-331', 1.6647562470590839e-06)
('WT20-B40-135', 1.6647562470590839e-06)
('WT20-B40-134', 1.6647562470590839e-06)
('WT20-B40-136', 1.6647562470590839e-06)
('WT20-B40-133', 1.6647562470590839e-06)
('WT12-B18-10', 1.6647562470590839e-06)
('WT07-B40-159', 1.6647562470590839e-06)
('WT12-B18-19', 1.6647562470590839e-06)
('WT16-B12-12', 1.6647562470590839e-06)
('WT09-B38-103', 1.6647562470590839e-06)
('WT05-B11-69', 1.6647562470590839e-06)
('WT05-B11-68', 1.6647562470590839e-06)
('WT11-B19-228', 1.6647562470590839e-06)
('WT11-B19-227', 1.6647562470590839e-06)
('WT11-B19-226', 1.6647562470590839e-06)
('WT11-B19-224', 1.6647562470590839e-06)
('WT11-B19-223', 1.6647562470590839e-06)
('WT11-B19-222', 1.6647562470590839e-06)
('WT11-B19-221', 1.6647562470590839e-06)
('WT11-B19-220', 1.6647562470590839e-06)
('WT21-B01-139', 1.6647562470590839e-06)
('WT21-B01-138', 1.6647562470590839e-06)
('WT23-B15-201', 1.6647562470590839e-06)
('WT05-B11-64', 1.6647562470590839e-06)
('WT02-B07-139', 1.6647562470590839e-06)
('WT20-B15-3', 1.6647562470590839e-06)
('WT20-B15-5', 1.6647562470590839e-06)
('WT20-B15-4', 1.6647562470590839e-06)
('WT02-B09-174', 1.6647562470590839e-06)
